loan_id,origination_date,vintage,country,gender,age,dependents,monthly_income_usd,years_in_business,sector,loan_purpose,loan_amount_usd,loan_term_months,interest_rate_pct,dti_ratio,previous_loans,previous_defaults,dpd_history_days,group_lending,has_collateral,default
2518,2022-11-27,11,Sierra Leone,F,20,4,141.28,4.6,Petty trade,Working capital,1002.1,12,26.7,0.68,2,0,14,1,0,0
2519,2023-11-22,23,Ghana,F,49,2,40.0,1.8,Agriculture,Working capital,329.32,6,23.9,1.4694,3,0,0,0,0,0
2520,2022-10-28,10,Sierra Leone,F,60,3,49.62,3.6,Manufacturing,Emergency,322.33,9,32.6,0.8233,1,0,0,1,1,0
2521,2022-08-29,8,Nigeria,F,25,4,259.97,3.4,Livestock,Inventory,1360.99,6,24.7,0.9365,0,0,0,0,0,1
2522,2023-11-22,23,Nigeria,M,34,3,71.58,7.3,Services,Working capital,238.67,3,37.3,1.1812,1,0,14,1,0,0
2523,2023-04-26,16,Nigeria,F,47,5,88.67,3.2,Livestock,Working capital,208.02,9,14.2,0.2763,2,0,0,1,0,0
2524,2024-01-21,25,Senegal,M,25,3,74.39,0.7,Manufacturing,Working capital,673.74,6,32.3,1.6548,1,1,84,0,1,0
2525,2024-09-17,33,Gambia,F,58,2,42.95,6.5,Agriculture,Inventory,456.86,9,12.0,1.2418,0,0,0,1,1,0
2526,2022-07-30,7,Gambia,F,28,2,65.34,0.7,Agriculture,Emergency,150.62,12,26.9,0.2212,1,0,14,1,0,0
2527,2024-09-17,33,Gambia,F,43,6,121.09,0.2,Services,Inventory,591.89,9,37.3,0.631,2,0,21,0,1,1
2528,2024-09-17,33,Gambia,M,33,1,96.43,4.9,Fishing,Expansion,333.67,12,26.9,0.3321,0,0,0,1,1,0
2529,2024-07-19,31,Gambia,M,49,3,231.36,8.5,Manufacturing,Inventory,738.02,12,37.6,0.323,1,0,7,1,1,0
2530,2024-01-21,25,Gambia,F,27,1,83.84,9.0,Services,Working capital,620.6,12,19.8,0.685,2,0,0,0,0,0
2531,2024-01-21,25,Ghana,F,22,1,120.64,0.4,Agriculture,Equipment,1138.65,12,29.2,0.9164,2,0,0,1,0,1
2532,2024-01-21,25,Gambia,M,41,7,87.67,3.6,Manufacturing,Working capital,415.17,9,21.2,0.5737,0,0,7,1,1,0
2533,2024-03-21,27,Senegal,M,58,5,212.8,1.7,Services,Working capital,1860.85,12,39.6,0.8943,0,0,0,0,0,0
2534,2022-01-01,0,Gambia,M,47,5,51.43,1.8,Fishing,Working capital,366.23,6,21.0,1.2606,0,0,0,1,1,0
2535,2024-10-17,34,Gambia,M,53,4,161.84,2.0,Services,Emergency,1261.35,12,20.0,0.722,3,0,0,1,1,0
2536,2023-12-22,24,Ghana,M,38,4,154.93,0.6,Agriculture,Working capital,1239.8,12,37.9,0.8115,3,0,14,0,0,0
2537,2024-06-19,30,Nigeria,F,24,3,74.23,0.5,Services,Equipment,157.05,18,17.7,0.1347,2,0,7,1,0,0
2538,2023-05-26,17,Nigeria,F,38,3,114.48,4.5,Petty trade,Emergency,875.68,24,21.2,0.3938,2,0,0,1,0,0
2539,2022-01-01,0,Ghana,F,64,2,153.27,3.4,Petty trade,Inventory,313.89,12,32.2,0.2019,2,1,113,1,0,0
2540,2023-09-23,21,Sierra Leone,M,54,2,80.23,6.3,Services,Working capital,589.31,12,29.6,0.7146,1,0,0,0,0,0
2541,2023-09-23,21,Nigeria,M,51,4,79.23,3.2,Livestock,Equipment,737.32,9,22.2,1.132,2,0,0,1,1,0
2542,2023-07-25,19,Gambia,M,32,0,58.1,2.3,Manufacturing,Expansion,206.87,12,26.9,0.3417,2,0,0,0,1,0
2543,2023-03-27,15,Gambia,F,46,4,408.87,2.1,Agriculture,Equipment,2050.38,6,42.1,0.9414,1,0,0,1,1,0
2544,2022-12-27,12,Ghana,F,47,4,91.82,16.0,Agriculture,Working capital,442.21,12,19.7,0.4454,1,0,0,0,0,0
2545,2023-10-23,22,Ghana,M,48,1,58.23,1.6,Petty trade,Inventory,165.32,12,27.8,0.2737,0,0,7,1,1,0
2546,2023-05-26,17,Nigeria,F,59,2,42.06,1.9,Services,Equipment,55.71,6,25.4,0.2374,2,1,88,1,1,0
2547,2024-11-16,35,Gambia,F,50,1,75.06,5.0,Services,Inventory,642.5,6,35.8,1.5792,0,0,7,1,0,0
2548,2022-09-28,9,Sierra Leone,F,28,3,142.62,9.6,Petty trade,Working capital,1125.01,6,17.9,1.3842,4,0,21,0,1,0
2549,2023-03-27,15,Ghana,F,28,0,104.24,4.8,Petty trade,Emergency,345.06,12,22.4,0.3105,0,0,0,0,0,0
2550,2023-02-25,14,Sierra Leone,F,47,2,149.96,3.0,Manufacturing,Emergency,975.62,18,25.1,0.4375,0,0,0,0,1,0
2551,2023-10-23,22,Ghana,M,58,3,186.64,0.9,Agriculture,Working capital,1203.27,6,22.3,1.1455,1,0,0,1,0,0
2552,2023-09-23,21,Gambia,F,62,5,110.99,1.7,Services,Working capital,439.39,18,31.2,0.2782,0,0,7,1,0,0
2553,2024-02-20,26,Senegal,F,46,3,112.56,3.5,Manufacturing,Working capital,413.04,6,33.4,0.6725,0,0,0,1,0,0
2554,2024-10-17,34,Gambia,F,42,0,310.89,17.5,Petty trade,Inventory,2954.38,6,31.1,1.7306,0,0,7,1,0,0
2555,2023-01-26,13,Gambia,M,56,4,189.05,0.3,Agriculture,Working capital,807.93,18,13.6,0.2638,3,0,0,1,0,0
2556,2024-03-21,27,Nigeria,F,63,0,153.04,0.4,Services,Inventory,1550.93,24,25.1,0.5414,1,0,7,0,1,0
2557,2022-01-31,1,Senegal,M,19,2,98.9,2.4,Agriculture,Emergency,681.56,6,25.8,1.2365,1,0,0,1,0,0
2558,2022-12-27,12,Gambia,F,32,3,182.23,2.1,Petty trade,Working capital,1396.14,6,18.6,1.3471,1,0,0,1,0,1
2559,2023-08-24,20,Senegal,F,33,4,150.11,1.2,Livestock,Working capital,454.69,6,20.7,0.5358,3,0,0,0,0,0
2560,2022-01-31,1,Ghana,M,44,11,146.76,1.3,Agriculture,Working capital,578.67,3,41.9,1.4072,3,2,85,1,0,0
2561,2024-01-21,25,Gambia,F,31,3,186.86,0.2,Livestock,Working capital,432.93,9,34.2,0.2955,0,0,0,0,0,0
2562,2024-03-21,27,Gambia,F,32,5,147.77,2.3,Agriculture,Emergency,682.05,12,18.0,0.4232,3,0,14,0,0,0
2563,2024-05-20,29,Nigeria,F,19,1,48.84,3.5,Petty trade,Working capital,503.14,3,33.0,3.6245,0,0,0,0,1,0
2564,2023-10-23,22,Gambia,F,18,4,125.56,0.8,Agriculture,Inventory,831.26,6,32.4,1.21,2,0,7,0,0,0
2565,2023-12-22,24,Sierra Leone,F,39,2,62.24,1.2,Services,Equipment,258.49,9,21.5,0.5038,2,0,0,0,0,0
2566,2023-05-26,17,Gambia,M,64,0,177.68,1.3,Fishing,Working capital,632.94,24,31.7,0.2023,0,0,0,1,0,0
2567,2022-03-02,2,Ghana,F,31,4,47.41,1.6,Petty trade,Working capital,120.7,12,24.0,0.2407,0,0,0,1,0,0
2568,2022-05-31,5,Ghana,F,29,6,119.27,1.0,Livestock,Expansion,222.11,9,13.2,0.2185,2,1,166,0,0,0
2569,2024-02-20,26,Gambia,F,30,4,125.8,12.9,Services,Expansion,346.49,6,24.2,0.492,2,1,66,0,0,1
2570,2024-11-16,35,Ghana,F,63,5,61.06,0.1,Fishing,Working capital,293.81,18,19.1,0.3096,2,1,141,1,0,1
2571,2022-01-01,0,Senegal,F,49,4,115.74,3.8,Services,Inventory,462.97,6,22.9,0.7119,4,0,14,1,1,0
2572,2023-11-22,23,Senegal,M,48,2,192.6,15.1,Services,Equipment,870.74,12,31.9,0.445,0,0,0,1,0,0
2573,2024-05-20,29,Nigeria,F,26,3,87.01,2.5,Fishing,Working capital,231.96,12,31.9,0.2624,1,0,0,1,0,0
2574,2024-07-19,31,Sierra Leone,F,60,3,144.56,5.3,Services,Working capital,560.59,12,30.9,0.3798,0,0,7,1,1,0
2575,2023-11-22,23,Gambia,M,27,2,164.78,0.3,Manufacturing,Working capital,832.83,12,30.3,0.4935,1,0,0,1,1,0
2576,2024-01-21,25,Ghana,M,63,0,64.04,2.5,Petty trade,Expansion,127.19,9,19.4,0.2389,0,0,0,0,1,0
2577,2024-03-21,27,Gambia,M,62,2,124.56,6.1,Agriculture,Equipment,213.75,6,21.5,0.3042,0,0,0,1,1,0
2578,2024-08-18,32,Gambia,F,44,0,107.07,9.7,Services,Expansion,926.81,6,37.2,1.6032,2,0,0,0,1,0
2579,2022-06-30,6,Gambia,M,58,3,120.43,6.5,Petty trade,Education,306.18,12,42.2,0.2634,0,0,14,0,0,0
2580,2024-10-17,34,Ghana,M,64,3,46.41,0.1,Petty trade,Equipment,194.19,9,27.9,0.5206,0,0,0,0,0,0
2581,2022-01-31,1,Nigeria,M,45,1,52.23,5.9,Livestock,Inventory,89.76,9,30.3,0.2159,2,0,21,1,1,0
2582,2024-07-19,31,Ghana,F,54,7,252.66,1.1,Services,Education,758.61,12,45.0,0.3153,0,0,0,1,0,0
2583,2022-05-01,4,Sierra Leone,M,45,0,191.29,1.1,Fishing,Working capital,1363.88,18,24.6,0.4777,0,0,0,1,0,0
2584,2022-09-28,9,Nigeria,M,42,5,138.67,3.4,Petty trade,Working capital,1128.82,3,29.3,2.847,0,0,14,1,0,0
2585,2022-01-01,0,Gambia,F,33,1,208.72,0.4,Petty trade,Equipment,810.83,6,22.7,0.691,0,0,14,1,0,0
2586,2023-07-25,19,Gambia,M,48,0,54.84,8.5,Agriculture,Equipment,162.42,3,12.0,1.007,1,0,0,1,1,0
2587,2023-03-27,15,Ghana,M,30,3,106.04,5.0,Fishing,Emergency,715.23,6,23.2,1.2014,2,1,92,1,1,0
2588,2022-08-29,8,Senegal,F,27,2,100.22,1.9,Petty trade,Equipment,262.78,6,31.0,0.4774,2,0,0,1,1,0
2589,2023-07-25,19,Gambia,M,30,5,76.55,1.8,Livestock,Equipment,525.36,6,15.3,1.1954,1,0,0,1,0,0
2590,2023-06-25,18,Gambia,M,18,0,61.55,11.9,Petty trade,Equipment,421.28,3,32.0,2.4043,2,1,74,0,0,0
2591,2024-05-20,29,Senegal,M,61,4,267.66,5.0,Petty trade,Equipment,2278.49,6,17.6,1.4925,1,0,14,1,0,0
2592,2024-09-17,33,Ghana,M,30,3,83.29,2.9,Manufacturing,Emergency,307.99,9,23.0,0.4512,2,0,0,1,0,0
2593,2024-02-20,26,Ghana,F,55,2,159.24,0.0,Services,Inventory,651.0,24,26.4,0.2211,2,0,0,0,0,1
2594,2022-06-30,6,Nigeria,F,38,4,148.32,0.3,Petty trade,Expansion,434.4,12,20.6,0.2721,0,0,21,1,0,0
2595,2023-02-25,14,Sierra Leone,M,33,1,227.52,0.7,Petty trade,Working capital,1420.06,18,28.2,0.4292,4,0,21,0,0,0
2596,2024-09-17,33,Nigeria,F,28,4,188.77,3.3,Petty trade,Emergency,1966.38,12,27.1,1.0007,2,0,14,1,1,0
2597,2022-05-01,4,Senegal,F,56,0,101.04,5.8,Manufacturing,Education,413.99,9,28.5,0.511,0,0,0,0,1,0
2598,2023-06-25,18,Ghana,F,42,3,56.88,1.9,Agriculture,Education,225.29,18,39.7,0.2955,2,0,21,1,0,0
2599,2024-10-17,34,Gambia,F,39,3,207.56,5.8,Agriculture,Education,1407.47,12,21.4,0.6327,1,0,0,1,1,0
2600,2024-10-17,34,Sierra Leone,F,48,5,252.94,5.9,Agriculture,Inventory,1177.8,3,31.8,1.6351,2,1,76,1,0,0
2601,2023-06-25,18,Ghana,F,55,4,532.67,7.5,Petty trade,Inventory,1120.61,6,22.0,0.3735,0,0,14,0,0,0
2602,2024-02-20,26,Gambia,F,48,4,218.5,0.1,Manufacturing,Working capital,1229.34,24,28.1,0.3091,2,0,0,0,1,1
2603,2023-08-24,20,Nigeria,M,39,1,82.82,6.8,Services,Working capital,507.07,12,35.7,0.6142,1,0,21,0,0,1
2604,2024-05-20,29,Senegal,F,60,5,89.53,0.0,Fishing,Expansion,465.08,9,35.9,0.6669,2,0,7,1,0,0
2605,2022-01-31,1,Sierra Leone,F,60,1,40.0,3.0,Services,Equipment,256.66,12,24.3,0.6077,0,0,14,1,0,0
2606,2022-07-30,7,Gambia,F,63,2,74.66,3.4,Petty trade,Inventory,458.9,12,35.3,0.6153,0,0,7,0,0,0
2607,2024-01-21,25,Senegal,F,22,2,56.75,0.6,Services,Inventory,299.14,9,30.3,0.6621,1,0,21,1,1,0
2608,2022-11-27,11,Sierra Leone,M,59,4,172.92,0.8,Livestock,Inventory,1467.51,3,29.0,2.9667,1,0,7,1,1,0
2609,2024-02-20,26,Senegal,M,27,4,215.84,6.3,Agriculture,Equipment,1389.33,12,30.2,0.6281,1,0,0,1,1,0
2610,2023-04-26,16,Senegal,F,47,5,471.02,5.2,Petty trade,Emergency,1923.3,6,27.8,0.7368,2,0,0,1,0,0
2611,2024-09-17,33,Ghana,F,48,4,774.66,4.2,Petty trade,Working capital,3734.97,6,21.0,0.8535,1,0,0,1,1,1
2612,2024-07-19,31,Ghana,F,27,4,141.07,2.1,Fishing,Expansion,213.02,12,26.9,0.1449,2,0,21,1,0,0
2613,2023-09-23,21,Gambia,M,18,2,85.65,0.2,Agriculture,Working capital,590.85,12,39.4,0.7048,0,0,0,1,0,0
2614,2024-05-20,29,Gambia,M,62,5,96.1,4.2,Agriculture,Expansion,770.53,6,23.0,1.4274,3,0,21,1,0,1
2615,2023-01-26,13,Senegal,M,59,3,80.21,7.8,Services,Expansion,232.13,6,50.0,0.5551,1,1,53,0,0,0
2616,2023-09-23,21,Gambia,M,26,8,495.82,1.2,Services,Education,3826.63,9,22.0,0.938,4,0,7,1,0,0
2617,2022-10-28,10,Senegal,F,46,1,40.0,0.6,Petty trade,Working capital,252.68,6,35.0,1.1629,2,0,0,1,0,0
2618,2024-08-18,32,Senegal,F,25,5,321.23,2.8,Petty trade,Expansion,585.86,6,16.3,0.3186,2,0,7,1,1,0
2619,2024-07-19,31,Nigeria,F,44,2,69.41,1.6,Services,Working capital,260.03,6,31.3,0.6826,0,0,0,1,0,0
2620,2024-09-17,33,Ghana,F,32,7,96.09,5.3,Petty trade,Working capital,1022.35,12,14.7,0.9588,0,0,0,1,0,0
2621,2024-08-18,32,Senegal,M,53,2,40.0,0.2,Petty trade,Working capital,55.74,12,35.1,0.1394,1,0,0,1,1,0
2622,2024-10-17,34,Gambia,F,44,1,228.83,2.7,Agriculture,Expansion,2281.89,9,28.3,1.2427,0,0,0,1,0,0
2623,2022-11-27,11,Senegal,F,41,4,195.56,5.1,Manufacturing,Emergency,1458.97,24,36.0,0.4405,3,0,21,1,1,0
2624,2024-10-17,34,Gambia,F,50,2,63.05,1.8,Petty trade,Inventory,514.77,6,18.4,1.4347,1,0,0,1,0,0
2625,2023-11-22,23,Sierra Leone,F,40,3,236.16,4.9,Services,Working capital,1422.2,12,29.6,0.5859,0,0,0,0,0,0
2626,2023-06-25,18,Gambia,M,18,4,210.4,14.2,Petty trade,Equipment,689.43,12,32.9,0.3241,0,0,0,0,0,0
2627,2023-11-22,23,Nigeria,M,46,4,88.4,12.8,Agriculture,Working capital,233.22,24,32.8,0.1513,1,0,0,1,1,1
2628,2023-03-27,15,Ghana,F,54,1,40.0,0.2,Services,Working capital,64.42,18,20.9,0.105,1,0,14,1,0,0
2629,2023-01-26,13,Nigeria,F,41,2,106.54,0.1,Petty trade,Expansion,593.61,9,29.2,0.6968,1,0,21,1,1,1
2630,2022-11-27,11,Nigeria,F,26,2,227.01,2.6,Agriculture,Working capital,1804.9,12,23.9,0.7514,0,0,0,1,1,1
2631,2022-05-01,4,Nigeria,M,18,3,70.18,5.4,Fishing,Inventory,150.88,9,29.6,0.2693,0,0,0,0,0,0
2632,2023-09-23,21,Ghana,F,31,3,232.47,9.3,Livestock,Equipment,753.55,6,14.6,0.5635,3,0,21,1,1,0
2633,2024-09-17,33,Gambia,M,54,0,72.5,4.3,Services,Working capital,196.99,9,39.9,0.3543,0,0,0,0,0,0
2634,2024-01-21,25,Ghana,F,33,5,115.08,0.5,Services,Working capital,771.09,3,23.2,2.3204,2,0,7,1,0,0
2635,2023-10-23,22,Gambia,M,62,2,78.11,6.5,Services,Working capital,603.94,3,31.9,2.7155,0,0,0,0,0,0
2636,2023-07-25,19,Senegal,F,33,5,133.47,1.4,Petty trade,Inventory,1093.84,3,18.7,2.8174,3,1,30,1,0,0
2637,2023-08-24,20,Nigeria,M,38,6,198.89,16.4,Petty trade,Inventory,634.05,6,14.7,0.5543,1,0,0,1,0,0
2638,2022-10-28,10,Ghana,M,53,1,323.26,4.4,Services,Emergency,2099.51,6,33.4,1.1903,1,1,58,1,1,1
2639,2024-07-19,31,Gambia,M,46,7,137.69,0.6,Services,Working capital,748.89,12,33.2,0.5388,0,0,0,0,1,0
2640,2022-10-28,10,Nigeria,F,19,6,47.69,1.1,Petty trade,Working capital,415.81,18,34.8,0.6286,0,0,0,0,1,0
2641,2024-04-20,28,Gambia,F,21,3,177.55,0.4,Livestock,Equipment,1345.33,12,30.9,0.742,1,0,7,1,0,0
2642,2024-05-20,29,Nigeria,F,27,4,101.63,2.9,Petty trade,Expansion,225.3,6,37.4,0.4108,1,0,14,0,0,0
2643,2023-11-22,23,Nigeria,F,58,4,100.33,1.1,Petty trade,Inventory,386.27,3,30.8,1.3498,2,0,0,1,1,0
2644,2024-08-18,32,Gambia,F,19,5,129.47,16.6,Petty trade,Emergency,981.2,3,20.6,2.6134,3,0,21,0,1,0
2645,2023-01-26,13,Gambia,F,21,0,169.95,2.4,Services,Working capital,1130.75,12,47.2,0.7062,1,0,0,0,0,0
2646,2024-08-18,32,Sierra Leone,M,54,3,94.81,6.6,Agriculture,Expansion,468.64,18,21.3,0.3232,3,0,0,0,1,0
2647,2024-04-20,28,Gambia,F,47,2,172.19,0.4,Petty trade,Inventory,679.46,24,34.7,0.2303,0,0,0,1,0,0
2648,2024-06-19,30,Sierra Leone,F,64,3,154.91,10.0,Services,Working capital,561.9,24,32.0,0.2066,4,0,21,0,0,0
2649,2024-02-20,26,Senegal,F,28,5,172.26,3.4,Services,Working capital,708.12,18,36.5,0.2999,0,0,7,0,0,0
2650,2024-07-19,31,Senegal,M,48,7,206.01,2.2,Petty trade,Equipment,434.82,9,27.2,0.2619,3,1,42,1,0,1
2651,2024-11-16,35,Ghana,M,24,1,40.0,0.6,Services,Working capital,191.82,9,30.7,0.6033,4,0,21,0,0,0
2652,2023-06-25,18,Senegal,M,45,2,96.0,4.3,Livestock,Working capital,242.43,18,23.0,0.1672,0,0,0,1,0,0
2653,2024-07-19,31,Senegal,F,22,4,110.87,3.9,Petty trade,Expansion,369.3,18,32.6,0.2364,1,0,14,1,1,1
2654,2024-05-20,29,Ghana,F,60,6,104.64,3.5,Services,Working capital,353.04,9,17.7,0.4031,1,0,7,0,0,1
2655,2023-07-25,19,Senegal,F,37,6,72.26,2.5,Agriculture,Expansion,189.67,12,38.2,0.2666,1,0,14,0,0,0
2656,2024-10-17,34,Gambia,F,29,3,82.15,5.9,Petty trade,Equipment,497.38,6,46.8,1.1512,0,0,0,1,0,1
2657,2023-05-26,17,Nigeria,F,64,5,166.12,6.3,Petty trade,Working capital,1096.31,3,36.8,2.3361,0,0,7,0,0,0
2658,2023-11-22,23,Ghana,M,21,2,160.21,3.3,Fishing,Inventory,1397.2,9,12.0,1.0181,2,0,0,0,0,0
2659,2022-05-31,5,Ghana,M,55,0,123.91,6.1,Agriculture,Equipment,607.06,24,23.7,0.2583,1,0,14,1,0,0
2660,2022-11-27,11,Ghana,F,41,4,66.53,5.9,Fishing,Working capital,101.05,12,35.9,0.1525,0,0,7,1,1,0
2661,2024-07-19,31,Ghana,M,50,3,203.51,3.6,Petty trade,Inventory,880.56,18,19.1,0.2784,3,0,14,0,0,0
2662,2023-05-26,17,Gambia,M,30,1,194.89,0.2,Petty trade,Working capital,1074.53,9,17.2,0.6574,1,0,14,1,0,0
2663,2023-05-26,17,Sierra Leone,F,59,1,236.86,9.8,Petty trade,Working capital,1667.65,3,29.1,2.4616,0,0,0,0,0,1
2664,2022-12-27,12,Senegal,M,39,8,76.02,1.4,Agriculture,Equipment,220.81,9,24.2,0.3561,1,0,7,1,0,0
2665,2023-09-23,21,Sierra Leone,F,37,1,1070.84,1.2,Agriculture,Inventory,8151.33,9,23.7,0.9315,4,0,0,0,0,0
2666,2024-06-19,30,Nigeria,F,39,2,138.66,15.6,Petty trade,Expansion,1107.58,12,16.8,0.7278,1,0,0,0,0,0
2667,2024-09-17,33,Nigeria,F,31,4,77.13,13.8,Services,Equipment,640.2,24,41.6,0.5151,2,0,21,1,0,0
2668,2022-04-01,3,Senegal,F,32,3,506.42,0.1,Services,Inventory,2950.84,6,20.2,1.0292,2,0,21,1,1,1
2669,2023-11-22,23,Gambia,M,24,4,190.29,8.1,Fishing,Inventory,614.67,12,24.6,0.3064,0,0,0,0,0,0
2670,2023-08-24,20,Senegal,M,40,5,137.23,4.2,Agriculture,Emergency,840.54,18,31.4,0.431,1,1,148,1,0,1
2671,2024-01-21,25,Ghana,F,40,6,147.54,1.3,Manufacturing,Working capital,541.09,6,26.2,0.6588,3,0,7,0,0,0
2672,2023-07-25,19,Senegal,M,35,1,262.28,3.1,Agriculture,Inventory,2313.88,12,24.2,0.8351,1,1,134,1,0,0
2673,2023-06-25,18,Gambia,F,64,2,141.36,5.8,Petty trade,Working capital,227.65,24,35.5,0.0947,2,0,0,0,0,0
2674,2023-08-24,20,Ghana,M,23,5,43.17,0.8,Agriculture,Working capital,297.29,12,30.9,0.6744,4,2,148,0,0,1
2675,2023-12-22,24,Gambia,F,60,6,120.2,2.3,Fishing,Expansion,1057.83,9,30.6,1.1067,1,0,0,1,0,0
2676,2023-09-23,21,Senegal,F,58,2,208.46,3.4,Petty trade,Equipment,843.58,12,24.6,0.3838,2,0,21,1,0,0
2677,2023-08-24,20,Ghana,F,19,4,118.08,9.3,Petty trade,Working capital,393.16,12,17.5,0.3045,2,0,7,0,1,0
2678,2024-07-19,31,Gambia,F,50,4,67.28,1.7,Petty trade,Inventory,157.09,18,37.2,0.1712,0,0,21,1,1,1
2679,2024-05-20,29,Gambia,F,27,4,118.89,4.4,Petty trade,Equipment,709.69,12,22.2,0.5593,2,1,86,0,0,1
2680,2023-03-27,15,Gambia,M,19,2,204.09,5.7,Agriculture,Emergency,544.97,24,17.1,0.1322,1,1,63,0,1,0
2681,2024-06-19,30,Ghana,F,58,3,261.28,2.6,Services,Emergency,1740.34,18,25.1,0.4479,3,1,139,0,0,1
2682,2024-08-18,32,Sierra Leone,F,23,4,62.46,0.6,Services,Working capital,412.82,6,27.4,1.1912,2,0,7,1,0,0
2683,2022-08-29,8,Gambia,F,32,4,59.95,2.4,Agriculture,Expansion,123.51,24,16.7,0.1016,0,0,14,1,1,0
2684,2023-12-22,24,Nigeria,F,22,2,117.29,3.6,Agriculture,Inventory,849.7,12,24.4,0.6864,3,1,162,1,1,0
2685,2023-01-26,13,Gambia,M,24,3,80.18,0.2,Petty trade,Inventory,672.41,18,27.8,0.5751,4,1,49,1,0,0
2686,2024-04-20,28,Ghana,M,20,2,85.89,2.5,Petty trade,Working capital,826.48,9,17.6,1.1491,0,0,0,1,1,1
2687,2022-11-27,11,Gambia,F,57,3,103.42,6.3,Agriculture,Expansion,234.5,18,36.9,0.1659,1,0,14,0,0,0
2688,2024-02-20,26,Nigeria,M,20,3,192.41,0.0,Agriculture,Inventory,1639.47,24,17.6,0.4237,0,0,0,1,0,0
2689,2022-12-27,12,Nigeria,F,53,5,73.24,0.6,Agriculture,Education,511.35,18,33.2,0.4977,3,0,0,0,0,0
2690,2023-09-23,21,Ghana,F,25,0,60.36,7.5,Petty trade,Expansion,564.52,12,29.2,0.9081,1,0,0,1,0,1
2691,2024-10-17,34,Gambia,F,61,3,77.99,2.1,Services,Equipment,284.74,6,48.3,0.697,2,1,45,1,0,0
2692,2023-05-26,17,Nigeria,M,57,5,49.02,6.1,Services,Emergency,288.68,6,28.5,1.0647,3,0,7,1,0,0
2693,2024-08-18,32,Gambia,M,47,5,125.41,3.0,Petty trade,Working capital,786.57,12,16.8,0.5714,1,0,0,1,0,0
2694,2024-11-16,35,Ghana,F,56,4,129.73,6.3,Petty trade,Emergency,1190.86,12,17.8,0.8407,1,0,0,0,0,0
2695,2024-08-18,32,Nigeria,F,32,4,222.74,2.2,Services,Working capital,449.82,12,25.4,0.1923,2,0,21,1,0,0
2696,2022-08-29,8,Ghana,F,54,4,64.38,1.7,Petty trade,Working capital,323.83,9,12.0,0.5872,1,0,21,1,0,0
2697,2024-07-19,31,Nigeria,M,28,3,130.8,2.3,Fishing,Emergency,711.57,3,17.2,1.8656,0,0,0,0,0,0
2698,2022-01-31,1,Nigeria,M,46,5,148.56,1.2,Services,Working capital,1183.66,12,33.0,0.7885,3,1,141,1,0,0
2699,2023-05-26,17,Nigeria,F,61,4,48.0,5.7,Services,Emergency,378.94,12,45.3,0.8302,1,0,14,0,1,0
2700,2024-08-18,32,Gambia,F,52,2,138.58,15.9,Petty trade,Working capital,1406.47,12,27.2,0.9755,2,0,0,1,0,0
2701,2024-03-21,27,Senegal,F,30,3,141.71,12.8,Petty trade,Inventory,1055.83,3,19.5,2.5647,1,0,0,1,0,0
2702,2023-10-23,22,Ghana,F,52,4,112.53,0.7,Petty trade,Inventory,366.82,9,36.2,0.419,1,0,14,0,1,0
2703,2023-05-26,17,Ghana,F,59,5,56.33,1.0,Agriculture,Working capital,371.89,9,38.4,0.8558,1,0,0,1,0,0
2704,2024-07-19,31,Ghana,F,59,3,116.09,0.5,Manufacturing,Expansion,1040.58,9,24.4,1.0999,0,0,21,1,1,0
2705,2024-04-20,28,Ghana,F,52,3,40.0,3.5,Livestock,Working capital,156.94,3,33.0,1.3804,0,0,7,1,1,0
2706,2023-08-24,20,Nigeria,F,52,6,147.69,13.1,Fishing,Emergency,900.78,12,38.4,0.6201,1,0,0,0,0,1
2707,2024-09-17,33,Gambia,F,54,3,189.61,0.3,Petty trade,Education,431.6,6,30.6,0.4139,1,0,7,1,0,0
2708,2022-11-27,11,Senegal,M,52,6,106.55,0.7,Fishing,Inventory,239.52,18,22.5,0.1483,2,0,0,1,0,0
2709,2022-08-29,8,Sierra Leone,F,24,2,261.82,4.4,Services,Emergency,1071.11,12,23.8,0.3864,2,0,14,0,1,0
2710,2024-02-20,26,Gambia,F,55,1,79.98,14.8,Petty trade,Inventory,466.85,18,18.1,0.3727,2,0,7,0,0,0
2711,2024-11-16,35,Gambia,F,26,3,78.51,3.0,Livestock,Education,423.86,9,21.7,0.6554,1,0,0,1,0,0
2712,2022-12-27,12,Nigeria,M,44,0,102.81,0.6,Fishing,Expansion,145.09,9,33.0,0.1791,3,0,0,1,0,0
2713,2022-12-27,12,Gambia,F,33,5,472.55,3.2,Petty trade,Inventory,3517.36,6,26.2,1.3371,1,0,0,1,0,0
2714,2022-07-30,7,Senegal,F,28,5,102.46,1.6,Manufacturing,Education,337.0,9,15.8,0.3899,1,0,7,1,0,0
2715,2024-08-18,32,Nigeria,F,31,4,439.66,0.5,Manufacturing,Equipment,4291.23,24,30.7,0.5493,2,0,0,0,0,0
2716,2022-11-27,11,Senegal,M,21,2,118.74,0.2,Services,Equipment,350.92,24,36.8,0.1758,6,0,0,0,0,0
2717,2023-09-23,21,Sierra Leone,M,38,1,74.87,2.4,Petty trade,Emergency,511.93,24,26.6,0.3704,0,0,14,1,1,0
2718,2024-11-16,35,Nigeria,F,37,1,392.19,0.7,Agriculture,Inventory,2223.25,12,27.3,0.5451,3,0,0,0,0,1
